Group,Name,RRP
Starters,Crispy Onion Ring,16
Starters,Crunchy Fries,18
Starters,Crunchy Fries with Parmesan,21
Starters,Chicken Popcorn,24
Starters,Calamari Fritti,28
Starters,Caramelized Pork Belly,28
Starters,Bacon Wrapped Frankfurter,32
Starters,Crispy Trotter with Spicy Dip,32
Starters,Nachos,34
Specialties,Roesti Weissbrau,38
Specialties,Smoked Duck with Orange Sauce,38
Specialties,Parmesan Egg Coated Fish Fillet,38
Specialties,Pork Chop with Apple Sauce,46
Good To Share,BBQ Pork Ribs,98
Good To Share,Mussels Marinière Style,68
Good To Share,Boneless Crispy Pork Knuckle,128
Good To Share,Sausage Platter,168
Pasta,Beef Ragu,38
Pasta,Bacon Carbonara,39
Pasta,Pork Belly & Assorted Mushrooms,40
Pasta,Seafood Aglio Olio,43
Schnitzel,Wienerschnitzel,38
Schnitzel,Jagerschnitzel,42
Schnitzel,Weissbrau Schnitzel,38
Schnitzel,Cordon Bleu Ham & Cheese,38
Burgers & Sandwiches,Classic B.L.T. with Cheddar Pesto,32
Burgers & Sandwiches,Lemongrass Chicken Ciabatta,38
Burgers & Sandwiches,Ciabatta Diavola,38
Burgers & Sandwiches,Bacon Cheese Burger,38
Burgers & Sandwiches,Weissbrau Club,42
Burgers & Sandwiches,Brunch Burger,48
Salads,Garden Green Salad,24
Salads,Classic Caesar Salad,34
Soups,Pumpkin Soup,20
Soups,Seafood Chowder Soup,24
Soups,Mushroom Cream Soup,28
Salad Add-On,Bacon Add-On,8
Salad Add-On,Frankfurter (3pcs) Add-On,12
Salad Add-On,Chicken Breast Add-On,12
German Sausages,German Pepper Sausage,39
German Sausages,Nürnberger Sausage,38
German Sausages,Frankfurter Sausage,36
German Sausages,Farmer's Country Sausage,39
Sausage Add-On,Upgrade Mashed Potatoes to Crunchy Fries,6
Sausage Add-On,German Pretzel with Butter,6
Red Wine,Bicicleta Reserva Merlot (Glass),38
Red Wine,Bicicleta Reserva Merlot (Bottle),180
Red Wine,Col Di Sasso Cabernet Sauvignon / Sangiovese (Glass),46
Red Wine,Col Di Sasso Cabernet Sauvignon / Sangiovese (Bottle),220
Red Wine,Katnook Founder's Block Shiraz (Glass),48
Red Wine,Katnook Founder's Block Shiraz (Bottle),240
Red Wine,Cotes du Rhone Bellaruche Grenache / Shiraz (Bottle),280
Red Wine,Chateauneuf du Pape Pie VI Grenache / Shiraz (Bottle),580
Red Wine,Fleurie Joseph Drouhin Gamay (Bottle),380
Red Wine,Chianti DOCG Baron Ricasoli Sangiovese (Bottle),240
Red Wine,Barbera d'Alba DOC Pio Cesare (Bottle),340
Red Wine,Barbaresco DOCG Pio Cesare Nebbiolo (Bottle),888
Red Wine,Katnook Estate Prodigy Shiraz (Bottle),680
Red Wine,Prelude Leeuwin Estate Cabernet Sauvignon (Bottle),320
Red Wine,Fire Gully Pierro Cabernet Sauvignon / Merlot (Bottle),280
White Wine,Bicicleta Reserva Chardonnay (Glass),38
White Wine,Bicicleta Reserva Chardonnay (Bottle),180
White Wine,San Angelo Banfi Pinot Grigio (Glass),48
White Wine,San Angelo Banfi Pinot Grigio (Bottle),220
White Wine,Dr. Loosen Qualitatswein Riesling (Glass),48
White Wine,Dr. Loosen Qualitatswein Riesling (Bottle),230
White Wine,Chablis Joseph Drouhin Chardonnay (Bottle),480
White Wine,F de Fournier Sauvignon Blanc (Bottle),290
White Wine,Pinot Grigio Delle Venezie IGT (Bottle),220
White Wine,Gavi DOCG Pio Cesare Cortese (Bottle),380
White Wine,Art Series Leeuwin Estate Chardonnay (Bottle),620
White Wine,Les Trois Cuvees Pierro Semillon / Sauvignon Blanc (Bottle),360
Sparkling Wine,Masottina Prosecco Brut NV (Bottle),320
Sparkling Wine,Perrier Jouet Grand Brut (Bottle),620
Draught Beer,Carlsberg (Glass),26
Draught Beer,Carlsberg (Pint),38
Draught Beer,Carlsberg (Tower),178
Draught Beer,Stella Artois (Glass),28
Draught Beer,Stella Artois (Pint),48
Draught Beer,Stella Artois (Tower),220
Draught Beer,Hoegaarden (Glass),28
Draught Beer,Hoegaarden (Pint),48
Draught Beer,Hoegaarden (Tower),220
Draught Beer,Leffe Blonde (Glass),28
Draught Beer,Leffe Blonde (Pint),48
Draught Beer,Leffe Blonde (Tower),220
Draught Beer,Erdinger Weissbier (Glass),32
Draught Beer,Erdinger Weissbier (Pint),48
Draught Beer,Erdinger Weissbier (Tower),220
Draught Beer,Erdinger Dunkel (Glass),32
Draught Beer,Erdinger Dunkel (Pint),48
Draught Beer,Erdinger Dunkel (Tower),220
Bottled Beer,Budweiser 355ml,32
Bottled Beer,Somersby Apple Cider 325ml,30
Bottled Beer,Corona Extra 330ml,38
Bottled Beer,Franziskaner 500ml,46
Bottled Beer,Konig Ludwig 500ml,46
Whisky,Jim Beam White Label (Glass),28
Whisky,Jim Beam White Label (Bottle),380
Whisky,John Jameson (Glass),28
Whisky,John Jameson (Bottle),420
Whisky,Jack Daniel's (Glass),28
Whisky,Jack Daniel's (Bottle),420
Whisky,Johnnie Walker Black Label (Glass),34
Whisky,Johnnie Walker Black Label (Bottle),520
Whisky,Chivas Regal 12YR (Glass),34
Whisky,Chivas Regal 12YR (Bottle),420
Whisky,Aberlour 12YR (Glass),38
Whisky,Aberlour 12YR (Bottle),580
Whisky,Glenlivet Founder's (Glass),38
Whisky,Glenlivet Founder's (Bottle),580
Whisky,Chivas Regal Extra (Bottle),680
Whisky,Glenlivet 12YR (Bottle),680
Whisky,Chivas Regal 18YR (Bottle),730
Whisky,Royal Salute 21YR (Bottle),1288
German Schnapps,Aventinus Edelbrand Distilled (Glass),28
German Schnapps,Aventinus Edelbrand Distilled (Bottle),340
German Schnapps,Jagermeister (Glass),24
German Schnapps,Jagermeister (Bottle),299
German Schnapps,Jagerbomb,28
Liqueur,Bailey's / Amaretto / Galliano (Glass),24
Liqueur,Bailey's / Amaretto / Galliano (Bottle),320
Liqueur,Grand Marnier (Glass),24
Liqueur,Grand Marnier (Bottle),380
Tequila,Olmeca Reposado (Glass),26
Tequila,Olmeca Reposado (Bottle),360
Brandy,Martell NCF (Glass),28
Brandy,Martell NCF (Bottle),480
Brandy,Martell V.S.O.P (Glass),38
Brandy,Martell V.S.O.P (Bottle),640
Brandy,Martell Cordon Bleu (Bottle),1200
Rum,Bacardi Carta Blanca (Glass),26
Rum,Bacardi Carta Blanca (Bottle),340
Rum,Malibu (Glass),26
Rum,Malibu (Bottle),340
Rum,Havana Club (Glass),28
Rum,Havana Club (Bottle),420
Vodka,Absolut Blue (Glass),28
Vodka,Absolut Blue (Bottle),380
Vodka,Absolut Citron (Glass),28
Vodka,Absolut Citron (Bottle),380
Vodka,Absolut Kurant (Glass),28
Vodka,Absolut Kurant (Bottle),380
Vodka,Absolut Raspberri (Glass),28
Vodka,Absolut Raspberri (Bottle),380
Vodka,Absolut ELYX (Bottle),680
Gin,Bombay Sapphire (Glass),28
Gin,Bombay Sapphire (Bottle),380
Gin,Hendrick's (Glass),34
Gin,Hendrick's (Bottle),620
Fruit Juice & Ice Teas,Iced Lemon Tea,14
Fruit Juice & Ice Teas,Iced Passion Fruit Tea,14
Fruit Juice & Ice Teas,Pineapple Juice,16
Fruit Juice & Ice Teas,Passion Fruit Juice,16
Fruit Juice & Ice Teas,Orange Juice,18
Soft Drinks,Coke / Coke Zero / Sprite / Ginger Ale / Soda / Tonic,12
Soft Drinks,Red Bull,18
Mineral Water,San Pellegrino 500ml,28
Mineral Water,San Pellegrino 1000ml,32
Mineral Water,Acqua Panna 500ml,25
Mineral Water,Acqua Panna 1000ml,30
Coffee,Single Espresso,10
Coffee,Double Espresso,14
Coffee,Long Black (Hot),10
Coffee,Long Black (Cold),14
Coffee,Flat White,14
Coffee,Cappuccino (Hot),14
Coffee,Cappuccino (Cold),16
Coffee,Latte (Hot),14
Coffee,Latte (Cold),16
Coffee,Chocolate (Hot),16
Coffee,Chocolate (Cold),18
Coffee,Mocha (Hot),16
Coffee,Mocha (Cold),18
Tea,English Breakfast,16
Tea,Earl Grey,16
Tea,Ceylon Black,16
Tea,Chamomile,16
Cocktails,Mojito,25
Cocktails,Tequila Sunrise,27
Cocktails,Screwdriver,26
Cocktails,Peach Margarita,28
Cocktails,Classic Margarita,28
Cocktails,Tom Collins,28
Cocktails,Cuba Libre,28
Cocktails,Campari Orange,29
Cocktails,Long Island Ice Tea (Glass),34
Cocktails,Long Island Ice Tea (Jug),98
Mocktails,Mojito Virgin,19
Mocktails,The Sunrise,19
Mocktails,Cinderella,18
Mocktails,Ginger Lime Fizz,18
Desserts,Swiss Chocolate Mousse,18
Desserts,Burnt Cheesecake,18
Desserts,Homemade Tiramisu,18
Desserts,Apple Turnover,18
Desserts,Panna Cotta With Coffee Jelly,18
